departamento,provincia,distrito,banco,monto_pn,monto_pyme,monto_general,total_pn,total_pyme,total_general,%Participacion_PN,%Participacion_PYME,%Participacion_General
AMAZONAS,AMAZONAS,AMAZONAS,BBVA,0.0,0.0,0.0,0.0,0.0,0.0,,,
AMAZONAS,AMAZONAS,AMAZONAS,BCP,0.0,0.0,0.0,0.0,0.0,0.0,,,
AMAZONAS,AMAZONAS,AMAZONAS,IBK,0.0,0.0,0.0,0.0,0.0,0.0,,,
AMAZONAS,AMAZONAS,AMAZONAS,SCO,0.0,0.0,0.0,0.0,0.0,0.0,,,
AMAZONAS,BAGUA,ARAMANGO,BBVA,2204172.0,254299.0,2458471.0,6564453.0,1489820.0,8054273.0,0.33577390225811654,0.17069109019881595,0.3052381015642256
AMAZONAS,BAGUA,ARAMANGO,BCP,1539407.0,1140445.0,2679852.0,6564453.0,1489820.0,8054273.0,0.2345065156228554,0.7654918043790525,0.3327242570496431
AMAZONAS,BAGUA,ARAMANGO,IBK,2263646.0,0.0,2263646.0,6564453.0,1489820.0,8054273.0,0.3448339107614907,0.0,0.2810490779242273
AMAZONAS,BAGUA,ARAMANGO,SCO,557228.0,95076.0,652304.0,6564453.0,1489820.0,8054273.0,0.08488567135753733,0.06381710542213154,0.08098856346190401
AMAZONAS,BAGUA,BAGUA,BBVA,25465074.0,1927158.0,27392232.0,74307686.0,14724485.0,89032171.0,0.34269771232009566,0.13088118192249168,0.30766667477983883
AMAZONAS,BAGUA,BAGUA,BCP,17657058.0,10768168.0,28425226.0,74307686.0,14724485.0,89032171.0,0.23762088352475408,0.7313103310574189,0.31926915496646713
AMAZONAS,BAGUA,BAGUA,IBK,23143799.0,47.0,23143846.0,74307686.0,14724485.0,89032171.0,0.31145901919217345,3.19196223161625e-06,0.2599492491315302
AMAZONAS,BAGUA,BAGUA,SCO,8041755.0,2029112.0,10070867.0,74307686.0,14724485.0,89032171.0,0.10822238496297677,0.1378052950578577,0.11311492112216381
AMAZONAS,BAGUA,COPALLIN,BBVA,1588775.0,219878.0,1808653.0,5307269.0,1509758.0,6817027.0,0.29935829519852863,0.14563791018163175,0.26531404379064366
AMAZONAS,BAGUA,COPALLIN,BCP,1565238.0,1289880.0,2855118.0,5307269.0,1509758.0,6817027.0,0.2949234342559233,0.8543620898183683,0.4188215772066034
AMAZONAS,BAGUA,COPALLIN,IBK,1224495.0,0.0,1224495.0,5307269.0,1509758.0,6817027.0,0.23072035730617763,0.0,0.17962302335020824
AMAZONAS,BAGUA,COPALLIN,SCO,928761.0,0.0,928761.0,5307269.0,1509758.0,6817027.0,0.1749979132393704,0.0,0.13624135565254472
AMAZONAS,BAGUA,EL PARCO,BBVA,621358.0,0.0,621358.0,1396043.0,202842.0,1598885.0,0.4450851442255002,0.0,0.3886195692623297
AMAZONAS,BAGUA,EL PARCO,BCP,373385.0,16306.0,389691.0,1396043.0,202842.0,1598885.0,0.26745952667647055,0.08038769091213852,0.24372672205943516
AMAZONAS,BAGUA,EL PARCO,IBK,366870.0,0.0,366870.0,1396043.0,202842.0,1598885.0,0.2627927649793022,0.0,0.22945365051270103
AMAZONAS,BAGUA,EL PARCO,SCO,34430.0,186536.0,220966.0,1396043.0,202842.0,1598885.0,0.024662564118727002,0.9196123090878615,0.1382000581655341
AMAZONAS,BAGUA,IMAZA,BBVA,3338008.0,163574.0,3501582.0,7557924.0,1932860.0,9490784.0,0.44165673007561335,0.08462796063863912,0.3689454949138027
AMAZONAS,BAGUA,IMAZA,BCP,1518002.0,1644447.0,3162449.0,7557924.0,1932860.0,9490784.0,0.20084906913591616,0.8507843299566445,0.33321261973721034
AMAZONAS,BAGUA,IMAZA,IBK,2360769.0,0.0,2360769.0,7557924.0,1932860.0,9490784.0,0.31235680591654535,0.0,0.24874330719148174
AMAZONAS,BAGUA,IMAZA,SCO,341145.0,124839.0,465984.0,7557924.0,1932860.0,9490784.0,0.04513739487192515,0.06458770940471632,0.04909857815750522
AMAZONAS,BAGUA,LA PECA,BBVA,3665812.0,196915.0,3862727.0,11655193.0,2356804.0,14011997.0,0.31452177582988117,0.08355170816071256,0.27567283949604043
AMAZONAS,BAGUA,LA PECA,BCP,3310056.0,1669735.0,4979791.0,11655193.0,2356804.0,14011997.0,0.2839983859555136,0.7084742727863667,0.3553948091767362
AMAZONAS,BAGUA,LA PECA,IBK,3803814.0,0.0,3803814.0,11655193.0,2356804.0,14011997.0,0.3263621632005579,0.0,0.2714683709966538
