Nombre Banco;Departamento;Provincia;Distrito;Dirección;Latitud;Longitud;Tipo;Nombre Punto;Horario,,,,
BCP;LIMA;CAÑETE;MALA;AVENIDA MARCHAND NUMERO 106;-12.655951;-76.636447;ATM;CODVIL S.R.L.;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;JUNIN;YAULI;SANTA ROSA DE SACCO;AVENIDA MIGUEL GRAU NUMERO 426-428 CHUCCHIS;-11.54891869;-75.93920438;ATM;REPUESTOS Y FERRETERIA EL CHASQUI;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;PIURA;PIURA;CATACAOS;AVENIDA PRINCIPAL LA LEGUA;-5.2333155;-80.6583214;ATM;TIENDA MI CINTHIA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;AVENIDA ESPAÃA NUMERO 248;-16.3813111;-71.5190611;ATM;SUPERMERCADO MÃS BARATO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;CUSCO;CALCA;PISAC;CALLE BOLOGNESI NUMERO 564;-13.421083;-71.852989;ATM;SOFI S MARKET;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;CUSCO;ANTA;ANTA;AVENIDA LOS ANDES NUMERO 209;-13.461225;-72.149064;ATM;LAURITA DISTRIBUCIONES;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LAMBAYEQUE;LAMBAYEQUE;MOTUPE;AV. PRIMAVERA S/N;-6.153417985;-79.71245134;ATM;BODEGA LA DESPENSA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;JIRON RESTAURACION NUMERO 249;-12.06498474;-77.04820557;ATM;BOTICA LA CONFIANZA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LAMBAYEQUE;CHICLAYO;CHICLAYO;CALLE MACCHU PICCHU NUMERO 703;-6.801833;-79.834981;ATM;BOTICA BAZAR RAUL;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN MARTIN DE PORRES;AVENIDA PERU NUMERO 3600;-12.0305749;-77.0863383;ATM;BOTICA MODERNA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LAMBAYEQUE;CHICLAYO;CHICLAYO;AVENIDA MEXICO  NUMERO 969;-6.755871;-79.837037;ATM;REPUESTOS CUBAS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;PIURA;TALARA;MANCORA;AVENIDA PIURA NUMERO 509;-4.10658687;-81.0530175;ATM;ROVILUZ;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;JR. TNTE. ARISTIDES DEL CARPIO MUÃOZ 1338-1344;-12.0515322;-77.0767571;ATM;BOTICA SANDOVAL;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN JUAN DE MIRAFLORES;AVENIDA JOSE CARLOS MARIATEGUI  NUMERO 901 -905;-12.1536914;-76.9522341;ATM;BOTICA KATTY;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LURIN;AVENIDA PANAMERICANA SUR KILOMETRO 25.62;-12.252974;-76.9291478;ATM;ESTACION K I O;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
