cluster,lat,lon,canal,accion_sugerida,promedio_transacciones_red,clientes_afectados,departamento,provincia,distrito,perfil_top,oportunidad_clientes_nominas,pct_digital,ingreso_prom,edad_prom,diagnostico,%Participacion_General_BBVA,%Participacion_PN_BBVA,%Participacion_PYME_BBVA,Ranking_General,Ranking_PN,Ranking_PYME
0,-18.020728085375495,-70.25435970697997,agente,nuevo_punto,0.0,7325,TACNA,TACNA,TACNA,Real,0,1,1,1,"[""Zona con 7.325 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.19,1140,1059,419
1,-12.181705447933886,-77.00409759083404,agente,nuevo_punto,0.0,7439,LIMA,LIMA,CHORRILLOS,Real,241,1,1,1,"[""Zona con 7.439 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 241 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.33,1145,1004,591
2,-11.889754316061808,-77.12781987383747,agente,nuevo_punto,0.0,7089,CALLAO,CALLAO,VENTANILLA,Real,0,1,1,1,"[""Zona con 7.089 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.27,0.14,1190,1109,335
3,-12.05145032756019,-76.93994529594336,agente,nuevo_punto,0.0,6661,LIMA,LIMA,ATE,Real,2,1,1,1,"[""Zona con 6.661 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 2 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.24,1315,1221,500
4,-12.141281445059292,-77.00867989761194,agente,nuevo_punto,0.0,6685,LIMA,LIMA,SAN BORJA,Real,9,1,1,1,"[""Zona con 6.685 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 9 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.25,0.25,0.28,1104,968,538
5,-11.732549860438379,-77.14614910094909,agente,nuevo_punto,0.0,7430,LIMA,LIMA,ANCON,Real,0,1,1,1,"[""Zona con 7.430 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.27,0.27,0.11,1203,1151,269
6,-11.961619210061087,-77.06366757894679,agente,nuevo_punto,0.0,7416,LIMA,LIMA,LOS OLIVOS,Real,362,1,1,1,"[""Zona con 7.416 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 362 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.23,1177,1058,484
7,-12.163739224434067,-76.95369221627708,agente,nuevo_punto,0.0,7192,LIMA,LIMA,ATE,Real,0,1,1,1,"[""Zona con 7.192 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.24,1315,1221,500
8,-3.548935056270217,-73.41615138373442,agente,nuevo_punto,0.0,6868,LORETO,MAYNAS,PUNCHANA,Real,0,1,1,1,"[""Zona con 6.868 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.33,0.35,0.19,1561,1530,427
9,-7.22751931785843,-79.42813787634577,agente,nuevo_punto,0.0,7105,LA LIBERTAD,CHEPEN,CHEPEN,Real,0,1,1,1,"[""Zona con 7.105 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.03,0.03,,75,66,
10,-4.1418204317642875,-73.55820289384947,agente,nuevo_punto,0.0,7178,LORETO,MAYNAS,SAN JUAN BAUTISTA,Real,0,1,1,1,"[""Zona con 7.178 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.32,0.33,0.13,1513,1473,316
11,-12.136789889184335,-76.99951528405613,agente,nuevo_punto,0.0,7132,LIMA,LIMA,SANTIAGO DE SURCO,Real,0,1,1,1,"[""Zona con 7.132 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.17,1048,936,388
12,-12.145773000934245,-76.99035067050032,agente,nuevo_punto,0.0,6825,LIMA,LIMA,SANTIAGO DE SURCO,Real,0,1,1,1,"[""Zona con 6.825 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.17,1048,936,388
13,-11.952636098311178,-77.0682498857247,agente,nuevo_punto,0.0,6573,LIMA,LIMA,LOS OLIVOS,Real,12,1,1,1,"[""Zona con 6.573 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 12 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.23,1177,1058,484
14,-13.416883313546535,-76.1426239165879,agente,nuevo_punto,0.0,6894,ICA,CHINCHA,CHINCHA ALTA,Real,0,1,1,1,"[""Zona con 6.894 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.25,0.26,0.22,1111,1020,473
15,-12.082891218684875,-77.08657911283632,agente,nuevo_punto,0.0,7125,LIMA,LIMA,SAN MIGUEL,Real,0,1,1,1,"[""Zona con 7.125 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.25,0.35,1131,991,602
16,-4.5819929075098855,-81.27022520106358,agente,nuevo_punto,0.0,6021,PIURA,TALARA,PARIÃ‘AS,Real,0,1,1,1,"[""Zona con 6.021 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",,,,,,
17,-12.172722336183977,-77.00409759083404,agente,nuevo_punto,0.0,7359,LIMA,LIMA,CHORRILLOS,Real,7,1,1,1,"[""Zona con 7.359 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 7 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.33,1145,1004,591
18,-13.53366376629537,-71.91315476058158,agente,nuevo_punto,0.0,6865,CUSCO,CUSCO,CUSCO,Real,1,1,1,1,"[""Zona con 6.865 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 1 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.18,1300,1227,407
19,-11.984076989435863,-77.00867989761194,agente,nuevo_punto,0.0,7337,LIMA,LIMA,SAN JUAN DE LURIGANCHO,Real,0,1,1,1,"[""Zona con 7.337 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.23,1276,1186,478
20,-16.399276414516713,-71.52365868445966,agente,nuevo_punto,0.0,6767,AREQUIPA,AREQUIPA,MIRAFLORES,Real,431,1,1,1,"[""Zona con 6.767 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 431 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.23,0.24,0.1,954,882,254
21,-11.948144542436221,-76.98576836372241,agente,nuevo_punto,228.5,7046,LIMA,LIMA,SAN JUAN DE LURIGANCHO,Real,0,1,1,1,"[""Zona con 7.046 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.23,1276,1186,478
22,-11.952636098311178,-77.00409759083404,agente,mantener_recomendacion,664.5,6740,LIMA,LIMA,SAN JUAN DE LURIGANCHO,Real,0,1,1,1,"[""Zona con 6.740 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.23,1276,1186,478
23,-3.751055070643197,-73.25577064650774,agente,nuevo_punto,27.0,7024,LORETO,MAYNAS,IQUITOS,Real,11,1,1,1,"[""Zona con 7.024 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 11 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.32,0.32,0.26,1496,1426,523
24,-12.204163227308662,-76.93078068238755,agente,nuevo_punto,0.0,7155,LIMA,LIMA,VILLA EL SALVADOR,Real,0,1,1,1,"[""Zona con 7.155 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.27,0.14,1167,1107,329
25,-12.028992548185414,-76.99951528405613,agente,nuevo_punto,275.5,7050,LIMA,LIMA,EL AGUSTINO,Real,0,1,1,1,"[""Zona con 7.050 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.28,0.1,1175,1178,256
26,-5.2018276182536844,-80.68368993349175,agente,nuevo_punto,0.0,7009,PIURA,PIURA,PIURA,Real,0,1,1,1,"[""Zona con 7.009 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.15,1040,951,345
27,-6.7603975068631,-79.83138087280142,agente,nuevo_punto,0.0,6346,LAMBAYEQUE,CHICLAYO,CHICLAYO,Real,0,1,1,1,"[""Zona con 6.346 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.12,1039,965,302
28,-5.188352950628822,-80.65161378604641,agente,nuevo_punto,0.0,7363,PIURA,PIURA,PIURA,Real,0,1,1,1,"[""Zona con 7.363 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.15,1040,951,345
29,-11.90322898368667,-77.04075604505728,agente,nuevo_punto,0.0,7177,LIMA,LIMA,COMAS,Real,0,1,1,1,"[""Zona con 7.177 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.3,0.3,0.16,1387,1305,377
30,-6.4729379308659745,-76.37173925548315,agente,nuevo_punto,0.0,6479,SAN MARTIN,SAN MARTIN,TARAPOTO,Real,28,1,1,1,"[""Zona con 6.479 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 28 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.33,0.34,0.29,1559,1490,552
31,-12.069416551060009,-77.0682498857247,agente,nuevo_punto,0.0,6182,LIMA,LIMA,PUEBLO LIBRE,Real,0,1,1,1,"[""Zona con 6.182 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.27,0.27,0.22,1250,1145,469
32,-16.42173419389149,-71.54657021834919,agente,nuevo_punto,0.0,7457,AREQUIPA,AREQUIPA,JACOBO HUNTER,Real,0,1,1,1,"[""Zona con 7.457 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.05,1043,987,127
