cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
0,-8.130903,-79.032376,atm,NEW_ATM_00000,1.0,LA LIBERTAD,TRUJILLO,TRUJILLO,5,438|1237|1362|1842|3017,0.0|0.0|0.0|0.0|1.0,"[""Consolidar 5 puntos de canal 'atm' por baja transaccionalidad (total=1 ≤ 2,000)."", ""Retirar/absorber códigos: 438, 1237, 1362, 1842, 3017."", ""Insertar 1 punto consolidado en el centroide (lat=-8.130903, lon=-79.032376).""]"
1,-12.093147599999998,-77.0356342,atm,NEW_ATM_00001,1309.0,LIMA,LIMA,SAN ISIDRO,5,3123|1567|3169|718|1299,115|187|234|381|392,"[""Consolidar 5 puntos de canal 'atm' por baja transaccionalidad (total=1,309 ≤ 2,000)."", ""Retirar/absorber códigos: 3123, 1567, 3169, 718, 1299."", ""Insertar 1 punto consolidado en el centroide (lat=-12.093148, lon=-77.035634).""]"
2,-12.1038776,-77.023742,atm,NEW_ATM_00002,1763.0,LIMA,LIMA,SAN ISIDRO,5,2262|2120|455|3115|1521,111|155|157|594|746,"[""Consolidar 5 puntos de canal 'atm' por baja transaccionalidad (total=1,763 ≤ 2,000)."", ""Retirar/absorber códigos: 2262, 2120, 455, 3115, 1521."", ""Insertar 1 punto consolidado en el centroide (lat=-12.103878, lon=-77.023742).""]"
3,-12.056749499999999,-77.063425,oficina,NEW_OFICINA_00003,1529.0,LIMA,LIMA,LIMA,2,385|132,3.0|1526.0,"[""Consolidar 2 puntos de canal 'oficina' por baja transaccionalidad (total=1,529 ≤ 2,000)."", ""Retirar/absorber códigos: 385, 132."", ""Insertar 1 punto consolidado en el centroide (lat=-12.056749, lon=-77.063425).""]"
4,-11.980966200000001,-77.0807682,agente,NEW_AGENTE_00004,73.0,LIMA,LIMA,LOS OLIVOS,5,BV00017653|BV00017705|BV00008382|BV00016922|BV00017627,0.0|4.5|5.5|23.5|39.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=73 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017653, BV00017705, BV00008382, BV00016922, BV00017627."", ""Insertar 1 punto consolidado en el centroide (lat=-11.980966, lon=-77.080768).""]"
5,-12.0243882,-77.02969119999999,agente,NEW_AGENTE_00005,187.0,LIMA,LIMA,RIMAC,5,BV00017214|BV00000496|BV00006386|BV00015278|BV00016380,0.0|26.5|32.5|43.0|85.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=187 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017214, BV00000496, BV00006386, BV00015278, BV00016380."", ""Insertar 1 punto consolidado en el centroide (lat=-12.024388, lon=-77.029691).""]"
6,-7.763479666666666,-79.147635,agente,NEW_AGENTE_00006,993.5,LA LIBERTAD,ASCOPE,CASA GRANDE,3,BV00017212|BV00017508|BV00013072,0.0|146.0|847.5,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=994 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017212, BV00017508, BV00013072."", ""Insertar 1 punto consolidado en el centroide (lat=-7.763480, lon=-79.147635).""]"
7,-11.9544714,-76.99075239999999,agente,NEW_AGENTE_00007,61.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00017210|BV00017694|BV00017396|BV00013222|BV00014978,0.0|1.0|2.0|19.0|39.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=62 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017210, BV00017694, BV00017396, BV00013222, BV00014978."", ""Insertar 1 punto consolidado en el centroide (lat=-11.954471, lon=-76.990752).""]"
8,-9.527512620000001,-77.52822660000001,agente,NEW_AGENTE_00008,72.5,ANCASH,HUARAZ,HUARAZ,5,BV00017192|BV00016756|BV00016733|BV00014711|BV00016573,0.0|3.5|18.5|25.0|25.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=72 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017192, BV00016756, BV00016733, BV00014711, BV00016573."", ""Insertar 1 punto consolidado en el centroide (lat=-9.527513, lon=-77.528227).""]"
9,-13.1593246,-74.22174319999999,agente,NEW_AGENTE_00009,35.0,AYACUCHO,HUAMANGA,AYACUCHO,5,BV00017177|BV00017611|BV00016522|BV00017264|BV00013834,0.0|2.0|5.5|11.5|16.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=35 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017177, BV00017611, BV00016522, BV00017264, BV00013834."", ""Insertar 1 punto consolidado en el centroide (lat=-13.159325, lon=-74.221743).""]"
