index,adr_department_name,adr_province_name,adr_district_name,OTROS,OTROS_BBVA,OTROS_BCP,OTROS_IBK,OTROS_NO PARTICIPANTES,OTROS_OTROS,OTROS_SCO,PRODUCTO PN,PRODUCTO PN_BBVA,PRODUCTO PN_BCP,PRODUCTO PN_IBK,PRODUCTO PN_NO PARTICIPANTES,PRODUCTO PN_OTROS,PRODUCTO PN_SCO,PRODUCTO PYME,PRODUCTO PYME_BBVA,PRODUCTO PYME_BCP,PRODUCTO PYME_IBK,PRODUCTO PYME_NO PARTICIPANTES,PRODUCTO PYME_OTROS,PRODUCTO PYME_SCO
1,,,,618099850,156471814350,196411999282,57606268005,907686703658,107482419938,193775358934,367729,1893694995,5517034210,890194076,876411913,933027289,1225402464,54083460,31807223303,59143179244,17777354390,17728731679,15176059496,19840478165
2,AMAZONAS,AMAZONAS,AMAZONAS,,,,,47215,79341,,,,,,37537,78112,,,,,,,,
3,AMAZONAS,BAGUA,ARAMANGO,106669,195038,2577093,610233,38299115,3851966,224852,,2204172,1539407,2263646,6271191,1888204,557228,22407,254299,1140445,,10332685,3608619,95076
4,AMAZONAS,BAGUA,BAGUA,948547,11557799,141344761,4816168,214469330,21496251,10558566,,25465074,17657058,23143799,66516413,14738202,8041755,189627,1927158,10768168,47,44629495,14260443,2029112
5,AMAZONAS,BAGUA,COPALLIN,29378,641084,2418549,166969,22071708,1750630,258888,,1588775,1565238,1224495,4353453,1196448,928761,15190,219878,1289880,,4655235,1728261,
6,AMAZONAS,BAGUA,EL PARCO,11270,20015,288992,15182,9519508,1115586,867961,,621358,373385,366870,1997414,547555,34430,11270,,16306,,2479975,1065287,186536
7,AMAZONAS,BAGUA,IMAZA,378177,648978,2066450,659200,47731320,5620530,449800,,3338008,1518002,2360769,26990717,4470993,341145,18128,163574,1644447,,12704715,2974203,124839
8,AMAZONAS,BAGUA,LA PECA,273091,6313320,8140103,1116955,61789134,5610544,3812150,,3665812,3310056,3803814,12387300,3921946,875511,12741,196915,1669735,,12902641,3395464,490154
9,AMAZONAS,BONGARA,BONGARA,,,5482,120,282,162337,34,,,,29132,14549,84550,1149,,,,,,,
10,AMAZONAS,BONGARA,CHISQUILLA,14183,5785,1176,4979,3538984,300311,115270,,151181,286922,129539,607224,164235,9752,10602,,31301,,669238,279745,
11,AMAZONAS,BONGARA,CHURUJA,,307156,61556,688,1621617,284590,18427,,316573,201415,146641,605594,100007,15491,,49079,113891,,463075,208226,
12,AMAZONAS,BONGARA,COROSHA,5173,158903,26865,1501,2532490,693279,85600,,268072,84645,22067,473358,202995,237299,1740,,35471,,790848,330026,189191
13,AMAZONAS,BONGARA,CUISPES,,36681,7858,1929,1632226,219804,,,290692,190279,121191,327419,237736,,,,13467,,440568,149203,
14,AMAZONAS,BONGARA,FLORIDA,74466,939858,612247,445956,42830598,6925167,384167,,1835681,1572119,1615113,4327277,918802,907421,4900,231249,410677,,12517490,4946845,54887
15,AMAZONAS,BONGARA,JAZAN,100566,3197821,4005462,998656,46626029,9288455,2167287,,5689237,3695524,4614947,9223504,2066826,2525053,66340,686286,1774049,,13180448,4953396,300861
16,AMAZONAS,BONGARA,JUMBILLA,6777,2946,550872,1382946,3973671,1666709,9939,,644599,647091,1798579,1356736,469791,202965,,200000,379920,,1086573,500690,
17,AMAZONAS,BONGARA,RECTA,,370,663,191993,2819830,162892,81348,,124884,59204,168674,643295,35800,184135,,,4514,,513576,164686,
18,AMAZONAS,BONGARA,SAN CARLOS,6878,11532,172771,3026,1786955,386968,323961,,52234,125616,551841,596181,98410,484214,,,,,656545,182520,
19,AMAZONAS,BONGARA,SHIPASBAMBA,16472,204123,166912,63553,8928618,1432421,7028,,607669,375338,361359,1652813,292036,114200,58339,,136141,,2398693,680983,
20,AMAZONAS,BONGARA,VALERA,2188,170,233281,570,7306498,1222464,206240,,91850,283869,56414,774216,170524,53378,,,93003,,1916014,882254,
21,AMAZONAS,BONGARA,YAMBRASBAMBA,73259,77930,313888,132016,43473373,4618991,493872,,1162106,1724400,951292,2190355,433333,1139854,57982,,609962,,10421503,4147443,
22,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,,2817,26865,190276,2521152,280968,566,,33831,438235,336622,658133,299081,16736,,,57095,,837491,217226,
23,AMAZONAS,CHACHAPOYAS,BALSAS,252895,5431,85164,5573,8543483,1265069,44501,,108766,320777,263856,946149,296501,161316,143230,,,,1942375,563151,
24,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1265246,13986110,47589426,11912245,205442296,23471648,13735131,,51708577,70856587,31015001,94010831,16709616,24021348,764586,444556,12846676,,54912492,17308052,1055669
25,AMAZONAS,CHACHAPOYAS,CHETO,28386,235,35077,4285,5394277,406790,1246,,10076,410460,8051,584732,37420,223594,,,67651,,1764630,509223,
26,AMAZONAS,CHACHAPOYAS,CHILIQUIN,219,361,2934,1035,3406207,456201,111,,61195,125960,190804,745861,130803,3551,,,66703,,1021040,393254,
27,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,26210,94586,2745841,4479,4404623,482223,1065,,388180,336925,249350,1054828,126012,152616,5152,,344402,,1434510,402957,
28,AMAZONAS,CHACHAPOYAS,GRANADA,34847,36676,244258,1604,3877811,223524,14785,,86338,178853,2000,553938,12437,161684,34847,,,,1183117,257821,
29,AMAZONAS,CHACHAPOYAS,HUANCAS,2271,1971,169466,763,3238387,373062,2836,,289010,256938,75670,448560,51036,,2271,,95614,,1849017,481317,
30,AMAZONAS,CHACHAPOYAS,LA JALCA,52775,117935,14155391,2881,42224756,1307372,39749,,982314,958593,430283,3002986,292409,661502,52775,,759281,,8398640,1811974,
31,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,90011,137478,958033,21230,13501018,948629,266994,,970570,963313,862901,3105715,308973,394615,57119,,457409,,4663168,801497,
32,AMAZONAS,CHACHAPOYAS,LEVANTO,15510,1119474,52229,346,5947563,739529,32642,,938752,273634,56717,547773,12150,130737,,,,,3123419,941669,
33,AMAZONAS,CHACHAPOYAS,MAGDALENA,11030,62466,99632,2237,4977464,624870,16310,,325487,754121,308303,1184069,130844,102118,,,274906,,1710302,575701,
34,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,34552,65997,42291,60036,5288004,553895,14892,,392807,181262,62412,861854,17640,335700,12564,63234,65179,,1727298,657515,
